cost, season ppm
 4.0, 4.0
 4.5, 5.555555556
 5.0, 5.4
 4.5, 5.111111111
 5.5, 5.090909091
 5.5, 4.727272727
 5.0, 4.4
 4.0, 4.25
 5.0, 4.2
 4.5, 4.0
 5.0, 4.0
 4.6, 3.913043478
 6.5, 3.846153846
 5.5, 3.818181818
 5.0, 3.8
 4.5, 3.777777778
 5.0, 3.6
 5.9, 3.559322034
 4.5, 3.555555556
 4.5, 3.555555556
 7.5, 3.466666667
 5.5, 3.454545455
 5.0, 3.4
 5.0, 3.4
 6.5, 3.384615385
 5.5, 3.272727273
 5.5, 3.272727273
 5.5, 3.272727273
 4.0, 3.25
 7.1, 3.23943662
 5.0, 3.2
 5.0, 3.2
 5.0, 3.2
 6.0, 3.166666667
 4.5, 3.111111111
 4.5, 3.111111111
 4.5, 3.111111111
 5.5, 3.090909091
 5.0, 3.0
 5.0, 3.0
 6.5, 2.923076923
 4.5, 2.888888889
 4.5, 2.888888889
 4.5, 2.888888889
 4.5, 2.888888889
 6.0, 2.833333333
 6.5, 2.769230769
 5.5, 2.727272727
