meal_id,meal_name,cuisine,meal_type,diet_type,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,serving_size_g,cooking_method,prep_time_min,cook_time_min,rating,is_healthy,image_url
1,Kid Pasta,Indian,Lunch,Keto,737,52.4,43.9,34.3,16.8,42.9,2079,91,206,Grilled,47,56,4.4,0,https://example.com/images/meal_1.jpg
2,Husband Rice,Mexican,Lunch,Paleo,182,74.7,144.4,0.1,22.3,38.6,423,7,317,Roasted,51,34,2.4,0,https://example.com/images/meal_2.jpg
3,Activity Rice,Indian,Snack,Paleo,881,52.9,97.3,18.8,20.0,37.5,2383,209,395,Boiled,58,29,4.3,0,https://example.com/images/meal_3.jpg
4,Another Salad,Mexican,Snack,Keto,427,17.5,73.1,7.6,9.8,41.7,846,107,499,Grilled,14,81,4.6,0,https://example.com/images/meal_4.jpg
5,Quite Stew,Thai,Lunch,Vegan,210,51.6,104.3,26.3,24.8,18.2,1460,42,486,Raw,47,105,4.3,0,https://example.com/images/meal_5.jpg
6,Arm Stew,Italian,Dinner,Balanced,484,55.3,130.3,0.1,29.7,1.6,411,162,209,Steamed,56,112,1.6,1,https://example.com/images/meal_6.jpg
7,Item Rice,Thai,Snack,Keto,114,60.9,6.7,6.7,23.4,8.3,1107,60,291,Roasted,41,90,2.8,1,https://example.com/images/meal_7.jpg
8,Thing Rice,Mexican,Breakfast,Vegan,473,57.5,119.0,19.6,2.0,39.8,257,63,143,Grilled,18,21,1.6,0,https://example.com/images/meal_8.jpg
9,Third Soup,American,Breakfast,Paleo,863,16.8,43.0,39.4,24.5,33.0,515,50,471,Grilled,33,56,4.0,0,https://example.com/images/meal_9.jpg
10,Ask Pasta,Mexican,Dinner,Balanced,671,48.4,76.4,38.2,14.7,29.4,1110,214,117,Roasted,35,68,5.0,0,https://example.com/images/meal_10.jpg
11,Add Wrap,Chinese,Snack,Balanced,746,23.9,55.7,1.8,20.0,32.9,875,270,384,Boiled,57,43,3.1,0,https://example.com/images/meal_11.jpg
12,Ago Soup,Thai,Breakfast,Keto,594,32.6,32.0,46.9,10.9,11.7,825,76,112,Steamed,8,76,4.2,0,https://example.com/images/meal_12.jpg
13,Because Salad,Mexican,Breakfast,Keto,545,9.0,137.2,45.3,19.5,34.1,765,175,267,Steamed,11,117,1.8,0,https://example.com/images/meal_13.jpg
14,Indicate Curry,Italian,Lunch,Paleo,708,5.3,133.7,2.9,23.7,26.1,588,216,144,Grilled,45,9,2.3,0,https://example.com/images/meal_14.jpg
15,Tax Pasta,Mediterranean,Dinner,Vegan,222,12.6,83.2,51.8,13.8,19.9,1623,276,441,Roasted,49,86,3.9,0,https://example.com/images/meal_15.jpg
16,Only Curry,Japanese,Dinner,Balanced,403,45.0,3.1,36.1,25.5,16.1,975,201,426,Baked,57,46,2.3,0,https://example.com/images/meal_16.jpg
17,System Pasta,Japanese,Dinner,Balanced,321,23.6,109.7,9.5,28.7,37.3,2457,136,233,Steamed,33,120,4.2,0,https://example.com/images/meal_17.jpg
18,Similar Salad,Japanese,Lunch,Vegetarian,605,74.5,38.0,44.3,13.3,47.4,321,292,469,Raw,16,80,1.8,0,https://example.com/images/meal_18.jpg
19,Down Stew,American,Lunch,Keto,150,55.3,27.6,37.1,0.3,26.8,2478,123,312,Grilled,47,51,3.8,0,https://example.com/images/meal_19.jpg
20,Decision Soup,Thai,Snack,Paleo,402,36.9,85.6,11.1,8.1,44.5,142,145,380,Roasted,12,63,4.8,0,https://example.com/images/meal_20.jpg
21,Detail Curry,Italian,Breakfast,Vegan,1137,78.1,72.3,14.3,4.5,48.7,148,281,365,Raw,18,66,1.7,0,https://example.com/images/meal_21.jpg
22,Despite Rice,Italian,Snack,Keto,578,33.5,135.3,7.4,10.6,18.7,1156,110,484,Fried,53,12,3.7,1,https://example.com/images/meal_22.jpg
23,Season Curry,Mexican,Dinner,Paleo,1067,5.2,47.0,13.0,3.8,20.6,921,6,326,Grilled,46,62,1.4,0,https://example.com/images/meal_23.jpg
24,Establish Wrap,Mexican,Dinner,Vegan,1197,43.7,79.0,26.9,10.4,21.6,1058,34,233,Boiled,59,17,3.0,0,https://example.com/images/meal_24.jpg
25,Per Pasta,Italian,Dinner,Vegan,1153,75.0,8.7,43.9,25.9,46.8,1043,86,485,Boiled,34,58,2.9,0,https://example.com/images/meal_25.jpg
26,Public Stew,Thai,Breakfast,Paleo,1087,45.8,137.5,55.8,25.6,31.7,1137,41,211,Boiled,55,50,4.8,0,https://example.com/images/meal_26.jpg
27,Energy Rice,American,Snack,Keto,884,8.5,34.8,16.8,0.1,45.7,2348,128,140,Grilled,19,94,2.3,0,https://example.com/images/meal_27.jpg
28,Listen Salad,Indian,Snack,Keto,1091,23.2,129.0,13.7,29.0,34.4,464,148,243,Raw,51,40,3.9,0,https://example.com/images/meal_28.jpg
29,Law Rice,Chinese,Lunch,Balanced,1189,43.3,27.2,47.3,7.1,30.4,1946,300,338,Steamed,36,102,2.3,0,https://example.com/images/meal_29.jpg
30,Benefit Sandwich,Thai,Breakfast,Low-Carb,311,51.8,69.1,41.3,6.4,49.3,2374,115,171,Fried,46,36,3.6,0,https://example.com/images/meal_30.jpg
31,Main Soup,Mexican,Snack,Keto,872,46.9,131.6,23.3,6.1,48.4,1588,238,395,Grilled,44,47,3.8,0,https://example.com/images/meal_31.jpg
32,Ready Rice,Thai,Dinner,Vegan,333,78.2,130.0,16.6,0.3,19.0,2416,167,220,Roasted,9,94,1.6,1,https://example.com/images/meal_32.jpg
33,Story Curry,Mediterranean,Lunch,Low-Carb,1178,65.7,118.8,39.0,18.6,26.6,1210,160,456,Roasted,14,63,1.5,0,https://example.com/images/meal_33.jpg
34,Important Salad,American,Snack,Vegetarian,149,76.5,106.0,38.6,16.0,42.9,2207,30,175,Boiled,10,105,4.1,0,https://example.com/images/meal_34.jpg
35,Plant Curry,Thai,Dinner,Vegan,645,14.7,141.1,9.0,9.6,49.9,767,82,359,Steamed,31,33,2.5,0,https://example.com/images/meal_35.jpg
36,Which Soup,Indian,Snack,Paleo,249,79.5,91.2,11.3,29.4,3.5,2354,120,376,Boiled,47,29,2.5,1,https://example.com/images/meal_36.jpg
37,Science Salad,American,Snack,Vegetarian,372,37.7,58.0,53.4,26.8,9.6,1461,113,336,Fried,57,21,1.7,0,https://example.com/images/meal_37.jpg
38,Give Sandwich,Mediterranean,Dinner,Paleo,821,45.7,39.9,31.7,14.0,1.2,2455,225,489,Grilled,46,93,1.9,0,https://example.com/images/meal_38.jpg
39,Black Curry,Indian,Snack,Low-Carb,1180,60.5,63.3,33.0,7.2,49.8,2347,124,427,Steamed,58,89,2.3,0,https://example.com/images/meal_39.jpg
40,Yeah Pasta,Indian,Dinner,Low-Carb,1003,26.4,89.2,31.1,2.0,15.1,149,264,348,Raw,14,33,2.0,0,https://example.com/images/meal_40.jpg
41,Fund Sandwich,Italian,Dinner,Balanced,806,72.1,13.3,2.5,5.3,40.8,1997,268,195,Baked,22,74,3.7,0,https://example.com/images/meal_41.jpg
42,Kind Wrap,Indian,Dinner,Balanced,466,23.3,58.3,0.8,7.3,34.7,1337,266,136,Grilled,32,115,1.4,0,https://example.com/images/meal_42.jpg
43,Maintain Wrap,Mediterranean,Snack,Paleo,686,38.5,71.2,40.6,20.3,25.8,2341,295,124,Grilled,23,104,1.2,0,https://example.com/images/meal_43.jpg
44,Administration Curry,Mediterranean,Snack,Balanced,794,51.0,36.9,20.7,29.8,36.9,1839,268,489,Raw,40,110,2.0,0,https://example.com/images/meal_44.jpg
45,Produce Stew,Thai,Snack,Paleo,563,60.3,79.6,56.8,11.0,3.4,384,109,369,Baked,34,119,4.6,0,https://example.com/images/meal_45.jpg
46,Away Curry,American,Lunch,Balanced,577,26.4,86.7,52.9,10.2,6.2,2033,130,431,Steamed,58,62,1.9,0,https://example.com/images/meal_46.jpg
47,Change Wrap,Chinese,Lunch,Low-Carb,583,15.6,58.4,44.8,3.0,3.9,661,152,289,Fried,24,37,4.3,0,https://example.com/images/meal_47.jpg
48,Likely Soup,Mediterranean,Snack,Vegetarian,1135,38.5,47.1,2.3,15.6,1.9,2162,125,377,Roasted,51,40,4.1,0,https://example.com/images/meal_48.jpg
49,After Sandwich,Italian,Breakfast,Paleo,591,64.4,93.9,23.8,11.8,28.4,1042,160,424,Fried,50,118,3.5,0,https://example.com/images/meal_49.jpg
50,Should Stew,Japanese,Dinner,Vegan,867,44.1,92.2,37.2,28.0,13.3,2462,15,287,Grilled,34,24,3.9,0,https://example.com/images/meal_50.jpg
51,Impact Stew,Indian,Breakfast,Paleo,118,58.6,106.5,3.3,19.4,48.0,603,11,421,Steamed,16,23,1.6,0,https://example.com/images/meal_51.jpg
52,Company Wrap,Indian,Dinner,Paleo,153,76.0,79.0,23.3,24.0,8.5,1581,80,149,Raw,10,87,4.3,1,https://example.com/images/meal_52.jpg
53,Many Salad,American,Breakfast,Low-Carb,312,58.0,24.8,32.7,20.8,37.7,1397,242,120,Boiled,13,80,4.7,0,https://example.com/images/meal_53.jpg
54,Interview Sandwich,Mexican,Breakfast,Balanced,609,9.3,12.7,59.2,6.4,6.3,1403,178,388,Grilled,54,68,1.7,0,https://example.com/images/meal_54.jpg
